ISO3,Country,Health_Index,Education_Index,Income_Index
AFG,Afghanistan,0.6458830769230769,0.36802538805555557,0.4386237971833716
AGO,Angola,0.6406676923076923,0.4885969673055556,0.6043833849602035
ALB,Albania,0.8686553846153845,0.7148459713888888,0.7478714684881707
AND,Andorra,0.9287446153846153,0.6626488405555555,0.9422361949613025
ARE,United Arab Emirates,0.9032369230769232,0.7892144522222222,0.9726370426949116
ARG,Argentina,0.8521523076923077,0.8061705436111111,0.8071727240649353
ARM,Armenia,0.8006630769230768,0.679085016111111,0.7370937474298574
ATG,Antigua and Barbuda,0.8999507692307691,0.6521768654444444,0.7739354699788827
AUS,Australia,0.9927153846153846,0.8535227775,0.9364336894456673
AUT,Austria,0.94738,0.7851291499999999,0.9493070923830079
AZE,Azerbaijan,0.759473846153846,0.6677738824999999,0.749208511062985
BDI,Burundi,0.6409646153846154,0.3847774659166667,0.3006490776953934
BEL,Belgium,0.9519799999999999,0.8437688880555556,0.9455265918358868
BEN,Benin,0.6126307692307692,0.4186518390277778,0.533074783286704
BFA,Burkina Faso,0.6041476923076923,0.31269618313888886,0.46117581247543443
BGD,Bangladesh,0.805863076923077,0.5505844486666667,0.6045625625042206
BGR,Bulgaria,0.7968923076923077,0.7030686272222222,0.8219707135727466
BHR,Bahrain,0.9040076923076922,0.7595597108333334,0.9031344370409591
BHS,Bahamas,0.79382,0.7094826072222222,0.8640174393000595
BIH,Bosnia and Herzegovina,0.850773846153846,0.6760088813888889,0.7593019158164209
BLR,Belarus,0.8067384615384616,0.7587097222222222,0.791387503280102
BLZ,Belize,0.7764569230769232,0.6066469350833333,0.626062275165463
BOL,Bolivia,0.6712369230769231,0.6881866985,0.6640152713670352
BRA,Brazil,0.8115446153846154,0.6591076115277777,0.7504025827904869
BRB,Barbados,0.8857138461538461,0.7101690326666666,0.726985880796769
BRN,Brunei,0.8406523076923076,0.6425494533333334,0.9771928382283925
BTN,Bhutan,0.7971538461538461,0.5109796406388889,0.6868927977558281
BWA,Botswana,0.6329369230769231,0.6279204902777777,0.7684949047050118
CAF,Central African Republic,0.521456923076923,0.34372699205555557,0.3426026041145626
CAN,Canada,0.9639461538461538,0.8397412925000001,0.9287871500242005
CHE,Switzerland,0.9844184615384616,0.8433322111111111,0.9828104730718608
CHL,Chile,0.906823076923077,0.7685074069444444,0.8313860187865509
CHN,China,0.8955492307692308,0.6065620373888889,0.7802084949887267
CIV,Ivory Coast,0.59382,0.4409644165833333,0.597364026345281
CMR,Cameroon,0.6205138461538461,0.5349974783333333,0.5421868527671243
COD,The Democratic Republic of the Congo,0.6029692307692307,0.46768224908333333,0.3588974442275858
COG,Congo,0.6695184615384616,0.5138004241666667,0.5080900985286656
COL,Colombia,0.8127630769230769,0.6473780473888888,0.7505545952453737
COM,Comoros,0.66796,0.47230480361111116,0.5207593529757455
CPV,Cabo Verde,0.8315661538461538,0.5233981590833333,0.624161309254413
CRI,Costa Rica,0.8772800000000001,0.704161962,0.800146773649239
CUB,Cuba,0.8258907692307693,0.7483553972222223,0.6596251417929895
CYP,Cyprus,0.9415892307692307,0.7802344427777778,0.8980440662237362
CZE,Czechia,0.8881276923076924,0.8080275325,0.9002305778123207
DEU,Germany,0.9327707692307692,0.8639196216666667,0.9518646142769361
DJI,Djibouti,0.6508446153846155,0.32036055555555554,0.5916867109415656
DMA,Dominica,0.8125230769230768,0.5961492277777778,0.7165865461171559
DNK,Denmark,0.9442353846153846,0.8600136174999999,0.9672084906141163
DOM,Dominican Republic,0.8094553846153846,0.6603728368611111,0.7843385963738226
DZA,Algeria,0.8673338461538461,0.6304494560277778,0.7072659103246092
ECU,Ecuador,0.8256923076923077,0.6511486105,0.7002728818219428
EGY,Egypt,0.7726261538461537,0.6488757192777778,0.7197622623472784
ERI,Eritrea,0.7159353846153845,0.3597711063333333,0.4305057310208173
ESP,Spain,0.9693846153846155,0.7922861311111111,0.8986960333795478
EST,Estonia,0.8791323076923078,0.8188163969444444,0.8974886469325173
ETH,Ethiopia,0.69192,0.3570164472777777,0.4775928804340904
FIN,Finland,0.9544323076923077,0.8576005563888889,0.9370879706229717
FJI,Fiji,0.7248307692307693,0.7127316108333333,0.6953366146363089
FRA,France,0.96152,0.7617258230555556,0.9259500525436972
FSM,Micronesia,0.7801538461538461,0.5376232188888889,0.5452935633923531
GAB,Gabon,0.7049384615384615,0.6225919444444444,0.7394735717961164
GBR,United Kingdom,0.9344953846153846,0.8532177608333333,0.9235894757388873
